playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
aaronha01,Hank Aaron,1957,7,28,5,11,0,1,3,7,1,0,0.0,0.0
aaronha01,Hank Aaron,1958,7,27,3,9,2,0,0,2,4,0,0.0,0.0
aaronha01,Hank Aaron,1969,3,14,3,5,2,0,3,7,0,0,0.0,0.0
alexape01,Pete Alexander,1915,2,5,0,1,0,0,0,0,0,0,0.0,1.0
alexape01,Pete Alexander,1926,3,7,1,0,0,0,0,0,0,0,0.0,2.0
alexape01,Pete Alexander,1928,2,1,0,0,0,0,0,1,0,0,0.0,0.0
alomaro01,Roberto Alomar,1991,5,19,3,9,0,0,0,4,2,0,0.0,2.0
alomaro01,Roberto Alomar,1992,6,26,4,11,1,0,2,4,2,0,0.0,0.0
alomaro01,Roberto Alomar,1992,6,24,3,5,1,0,0,0,3,0,0.0,0.0
alomaro01,Roberto Alomar,1993,6,24,3,7,2,0,0,4,4,0,0.0,0.0
alomaro01,Roberto Alomar,1993,6,25,5,12,2,1,0,6,2,0,0.0,0.0
alomaro01,Roberto Alomar,1996,5,23,2,5,2,0,0,1,0,0,0.0,0.0
alomaro01,Roberto Alomar,1996,4,17,2,5,0,0,1,4,2,0,0.0,0.0
alomaro01,Roberto Alomar,1997,6,22,2,4,0,0,1,2,7,2,0.0,0.0
alomaro01,Roberto Alomar,1997,4,10,1,3,2,0,0,2,1,1,0.0,1.0
alomaro01,Roberto Alomar,1999,5,19,4,7,4,0,0,3,2,0,0.0,0.0
alomaro01,Roberto Alomar,2001,5,21,3,4,3,0,0,3,2,0,0.0,0.0
ansonca01,Cap Anson,1885,7,26,8,11,1,1,0,0,2,0,0.0,0.0
ansonca01,Cap Anson,1886,6,21,3,5,1,0,0,1,4,0,0.0,0.0
aparilu01,Luis Aparicio,1959,6,26,1,8,1,0,0,0,2,0,0.0,1.0
aparilu01,Luis Aparicio,1966,4,16,0,4,1,0,0,2,0,0,0.0,0.0
ashburi01,Richie Ashburn,1950,4,17,0,3,1,0,0,1,0,0,0.0,0.0
averiea01,Earl Averill,1940,3,3,0,0,0,0,0,0,0,0,0.0,0.0
bagweje01,Jeff Bagwell,1997,3,12,0,1,0,0,0,0,1,0,0.0,0.0
bagweje01,Jeff Bagwell,1998,4,14,0,2,0,0,0,4,1,0,1.0,0.0
bagweje01,Jeff Bagwell,1999,4,13,3,2,0,0,0,0,5,2,1.0,0.0
bagweje01,Jeff Bagwell,2001,3,7,0,3,0,0,0,0,5,0,0.0,0.0
bagweje01,Jeff Bagwell,2004,7,27,1,7,2,0,0,3,4,0,0.0,0.0
bagweje01,Jeff Bagwell,2004,5,22,5,7,2,0,2,5,3,0,0.0,0.0
bagweje01,Jeff Bagwell,2005,1,1,0,0,0,0,0,0,0,0,0.0,0.0
bagweje01,Jeff Bagwell,2005,2,2,1,1,0,0,0,1,0,0,0.0,0.0
bagweje01,Jeff Bagwell,2005,4,8,1,1,0,0,0,0,0,0,2.0,0.0
bakerfr01,Home Run Baker,1910,5,22,6,9,3,1,0,4,2,0,0.0,0.0
bakerfr01,Home Run Baker,1911,6,24,7,9,2,0,2,5,1,1,0.0,0.0
bakerfr01,Home Run Baker,1913,5,20,2,9,0,0,1,7,0,0,0.0,0.0
bakerfr01,Home Run Baker,1914,4,16,0,4,2,0,0,2,1,1,0.0,0.0
bakerfr01,Home Run Baker,1921,4,8,0,2,0,0,0,0,1,0,0.0,0.0
bakerfr01,Home Run Baker,1922,1,1,0,0,0,0,0,0,0,0,0.0,0.0
bancrda01,Dave Bancroft,1915,5,17,2,5,0,0,0,1,2,0,0.0,1.0
bancrda01,Dave Bancroft,1921,8,33,3,5,1,0,0,3,1,0,0.0,0.0
bancrda01,Dave Bancroft,1922,5,19,4,4,0,0,0,2,2,0,0.0,0.0
bancrda01,Dave Bancroft,1923,6,24,1,2,0,0,0,1,1,0,0.0,0.0
benchjo01,Johnny Bench,1970,3,9,2,2,0,0,1,1,3,2,0.0,0.0
benchjo01,Johnny Bench,1970,5,19,3,4,0,0,1,3,1,0,0.0,0.0
benchjo01,Johnny Bench,1972,5,18,3,6,1,1,1,2,1,0,0.0,0.0
benchjo01,Johnny Bench,1972,7,23,4,6,1,0,1,1,5,3,0.0,0.0
benchjo01,Johnny Bench,1973,5,19,1,5,2,0,1,1,2,1,0.0,0.0
benchjo01,Johnny Bench,1975,3,13,1,1,0,0,0,0,1,0,0.0,0.0
benchjo01,Johnny Bench,1975,7,29,5,6,2,0,1,4,2,0,0.0,0.0
benchjo01,Johnny Bench,1976,3,12,3,4,1,0,1,1,1,0,0.0,0.0
benchjo01,Johnny Bench,1976,4,15,4,8,1,1,2,6,0,0,0.0,0.0
benchjo01,Johnny Bench,1979,3,12,1,3,0,1,1,1,2,0,0.0,0.0
bendech01,Chief Bender,1905,2,5,0,0,0,0,0,0,0,0,0.0,1.0
bendech01,Chief Bender,1910,2,6,1,2,0,0,0,1,1,0,0.0,0.0
bendech01,Chief Bender,1911,3,11,0,1,0,0,0,0,0,0,0.0,0.0
bendech01,Chief Bender,1913,2,8,0,0,0,0,0,1,0,0,0.0,0.0
bendech01,Chief Bender,1914,1,2,0,0,0,0,0,0,0,0,0.0,0.0
berrayo01,Yogi Berra,1947,6,19,2,3,0,0,1,2,1,1,0.0,0.0
berrayo01,Yogi Berra,1949,4,16,2,1,0,0,0,1,1,0,0.0,0.0
berrayo01,Yogi Berra,1950,4,15,2,3,0,0,1,2,2,0,0.0,0.0
berrayo01,Yogi Berra,1951,6,23,4,6,1,0,0,0,2,0,0.0,0.0
berrayo01,Yogi Berra,1952,7,28,2,6,1,0,2,3,2,0,0.0,0.0
berrayo01,Yogi Berra,1953,6,21,3,9,1,0,1,4,3,0,2.0,0.0
berrayo01,Yogi Berra,1955,7,24,5,10,1,0,1,2,3,0,1.0,0.0
berrayo01,Yogi Berra,1956,7,25,5,9,2,0,3,10,4,2,0.0,0.0
berrayo01,Yogi Berra,1957,7,25,5,8,1,0,1,2,4,1,0.0,0.0
