playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
ashburi01,Richie Ashburn,1950,151,594,84,180,25,14,2,41.0,63,0.0,2.0,11.0
slaugen01,Enos Slaughter,1950,148,556,82,161,26,7,10,101.0,66,0.0,2.0,8.0
reesepe01,Pee Wee Reese,1950,141,531,97,138,21,5,11,52.0,91,0.0,1.0,10.0
willite01,Ted Williams,1950,89,334,82,106,24,1,28,97.0,82,0.0,0.0,0.0
irvinmo01,Monte Irvin,1950,110,374,61,112,19,5,15,66.0,52,0.0,5.0,1.0
applilu01,Luke Appling,1950,50,128,11,30,3,4,0,13.0,12,0.0,0.0,4.0
berrayo01,Yogi Berra,1950,151,597,116,192,30,6,28,124.0,55,0.0,4.0,0.0
foxne01,Nellie Fox,1950,130,457,45,113,12,7,0,30.0,35,0.0,2.0,10.0
camparo01,Roy Campanella,1950,126,437,70,123,19,3,31,89.0,55,0.0,2.0,0.0
dimagjo01,Joe DiMaggio,1950,139,525,114,158,33,10,32,122.0,80,0.0,1.0,0.0
kinerra01,Ralph Kiner,1950,150,547,112,149,21,6,47,118.0,122,0.0,3.0,0.0
dobyla01,Larry Doby,1950,142,503,110,164,25,5,25,102.0,98,0.0,6.0,2.0
lemonbo01,Bob Lemon,1950,72,136,21,37,9,1,6,26.0,13,0.0,1.0,3.0
musiast01,Stan Musial,1950,146,555,105,192,41,7,28,109.0,87,0.0,3.0,0.0
gordojo01,Joe Gordon,1950,119,368,59,87,12,1,19,57.0,56,0.0,2.0,3.0
boudrlo01,Lou Boudreau,1950,81,260,23,70,13,2,1,29.0,31,0.0,1.0,3.0
snidedu01,Duke Snider,1950,152,620,109,199,31,10,31,107.0,58,0.0,0.0,6.0
rizzuph01,Phil Rizzuto,1950,155,617,125,200,36,7,7,66.0,92,0.0,7.0,19.0
schoere01,Red Schoendienst,1950,153,642,81,177,43,9,7,63.0,33,0.0,2.0,16.0
kellge01,George Kell,1950,157,641,114,218,56,6,8,101.0,66,0.0,1.0,16.0
mizejo01,Johnny Mize,1950,90,274,43,76,12,0,25,72.0,29,0.0,2.0,0.0
robinja02,Jackie Robinson,1950,144,518,99,170,39,4,14,81.0,80,0.0,5.0,10.0
doerrbo01,Bobby Doerr,1950,149,586,103,172,29,11,27,120.0,67,0.0,1.0,9.0
willite01,Ted Williams,1951,148,531,109,169,28,4,30,126.0,144,0.0,0.0,0.0
lemonbo01,Bob Lemon,1951,56,102,11,21,4,1,3,13.0,9,0.0,0.0,1.0
kinerra01,Ralph Kiner,1951,151,531,124,164,31,6,42,109.0,137,0.0,2.0,0.0
mizejo01,Johnny Mize,1951,113,332,37,86,14,1,10,49.0,36,0.0,4.0,0.0
dimagjo01,Joe DiMaggio,1951,116,415,72,109,22,4,12,71.0,61,0.0,6.0,0.0
camparo01,Roy Campanella,1951,143,505,90,164,33,1,33,108.0,53,0.0,4.0,0.0
rizzuph01,Phil Rizzuto,1951,144,540,87,148,21,6,2,43.0,58,0.0,5.0,26.0
doerrbo01,Bobby Doerr,1951,106,402,60,116,21,2,13,73.0,57,0.0,1.0,3.0
foxne01,Nellie Fox,1951,147,604,93,189,32,12,4,55.0,43,0.0,14.0,20.0
berrayo01,Yogi Berra,1951,141,547,92,161,19,4,27,88.0,44,0.0,3.0,0.0
dobyla01,Larry Doby,1951,134,447,84,132,27,5,20,69.0,101,0.0,3.0,0.0
musiast01,Stan Musial,1951,152,578,124,205,30,12,32,108.0,98,0.0,1.0,1.0
irvinmo01,Monte Irvin,1951,151,558,94,174,19,11,24,121.0,89,0.0,9.0,1.0
schoere01,Red Schoendienst,1951,135,553,88,160,32,7,6,54.0,35,0.0,3.0,11.0
robinja02,Jackie Robinson,1951,153,548,106,185,33,7,19,88.0,79,0.0,9.0,6.0
reesepe01,Pee Wee Reese,1951,154,616,94,176,20,8,10,84.0,81,0.0,2.0,12.0
boudrlo01,Lou Boudreau,1951,82,273,37,73,18,1,5,47.0,30,0.0,6.0,4.0
kellge01,George Kell,1951,147,598,92,191,36,3,2,59.0,61,0.0,4.0,11.0
slaugen01,Enos Slaughter,1951,123,409,48,115,17,8,4,64.0,67,0.0,3.0,4.0
ashburi01,Richie Ashburn,1951,154,643,92,221,31,5,4,63.0,50,0.0,2.0,17.0
snidedu01,Duke Snider,1951,150,606,96,168,26,6,29,101.0,62,0.0,0.0,4.0
mantlmi01,Mickey Mantle,1951,96,341,61,91,11,5,13,65.0,43,0.0,0.0,2.0
mayswi01,Willie Mays,1951,121,464,59,127,22,5,20,68.0,57,0.0,2.0,1.0
mantlmi01,Mickey Mantle,1952,142,549,94,171,37,7,23,87.0,75,0.0,0.0,2.0
boudrlo01,Lou Boudreau,1952,4,2,1,0,0,0,0,2.0,0,0.0,0.0,1.0
musiast01,Stan Musial,1952,154,578,105,194,42,6,21,91.0,96,0.0,2.0,0.0
mayswi01,Willie Mays,1952,34,127,17,30,2,4,4,23.0,16,0.0,1.0,0.0
rizzuph01,Phil Rizzuto,1952,152,578,89,147,24,10,2,43.0,67,0.0,5.0,23.0
mizejo01,Johnny Mize,1952,78,137,9,36,9,0,4,29.0,11,0.0,2.0,0.0
kinerra01,Ralph Kiner,1952,149,516,90,126,17,2,37,87.0,110,0.0,7.0,0.0
kellge01,George Kell,1952,39,152,11,45,8,0,1,17.0,15,0.0,0.0,4.0
kellge01,George Kell,1952,75,276,41,88,15,2,6,40.0,31,0.0,1.0,4.0
irvinmo01,Monte Irvin,1952,46,126,10,39,2,1,4,21.0,10,0.0,1.0,0.0
schoere01,Red Schoendienst,1952,152,620,91,188,40,7,7,67.0,42,0.0,0.0,11.0
reesepe01,Pee Wee Reese,1952,149,559,94,152,18,8,6,58.0,86,0.0,0.0,15.0
slaugen01,Enos Slaughter,1952,140,510,73,153,17,12,11,101.0,70,0.0,1.0,6.0
dobyla01,Larry Doby,1952,140,519,104,143,26,8,32,104.0,90,0.0,0.0,2.0
camparo01,Roy Campanella,1952,128,468,73,126,18,1,22,97.0,57,0.0,3.0,5.0
foxne01,Nellie Fox,1952,152,648,76,192,25,10,0,39.0,34,0.0,3.0,15.0
matheed01,Eddie Mathews,1952,145,528,80,128,23,5,25,58.0,59,0.0,1.0,5.0
ashburi01,Richie Ashburn,1952,154,613,93,173,31,6,1,42.0,75,0.0,2.0,11.0
berrayo01,Yogi Berra,1952,142,534,97,146,17,1,30,98.0,66,0.0,4.0,1.0
robinja02,Jackie Robinson,1952,149,510,104,157,17,3,19,75.0,106,0.0,14.0,6.0
willite01,Ted Williams,1952,6,10,2,4,0,1,1,3.0,2,0.0,0.0,0.0
snidedu01,Duke Snider,1952,144,534,80,162,25,7,21,92.0,55,0.0,0.0,9.0
lemonbo01,Bob Lemon,1952,54,124,14,28,5,0,2,9.0,4,0.0,0.0,6.0
kinerra01,Ralph Kiner,1953,117,414,73,117,14,2,28,87.0,75,0.0,1.0,1.0
camparo01,Roy Campanella,1953,144,519,103,162,26,3,41,142.0,67,0.0,4.0,0.0
berrayo01,Yogi Berra,1953,137,503,80,149,23,5,27,108.0,50,0.0,3.0,1.0
matheed01,Eddie Mathews,1953,157,579,110,175,31,8,47,135.0,99,0.0,2.0,1.0
foxne01,Nellie Fox,1953,154,624,92,178,31,8,3,72.0,49,0.0,7.0,12.0
irvinmo01,Monte Irvin,1953,124,444,72,146,21,5,21,97.0,55,0.0,3.0,0.0
schoere01,Red Schoendienst,1953,146,564,107,193,35,5,15,79.0,60,0.0,0.0,3.0
reesepe01,Pee Wee Reese,1953,140,524,108,142,25,7,13,61.0,82,0.0,4.0,15.0
snidedu01,Duke Snider,1953,153,590,132,198,38,4,42,126.0,82,0.0,3.0,5.0
slaugen01,Enos Slaughter,1953,143,492,64,143,34,9,6,89.0,80,0.0,5.0,1.0
rizzuph01,Phil Rizzuto,1953,134,413,54,112,21,3,2,54.0,71,0.0,4.0,18.0
robinja02,Jackie Robinson,1953,136,484,109,159,34,7,12,95.0,74,0.0,7.0,9.0
kellge01,George Kell,1953,134,460,68,141,41,2,12,73.0,52,0.0,5.0,3.0
mizejo01,Johnny Mize,1953,81,104,6,26,3,0,4,27.0,12,0.0,2.0,0.0
bankser01,Ernie Banks,1953,10,35,3,11,1,1,2,6.0,4,0.0,0.0,0.0
kalinal01,Al Kaline,1953,30,28,9,7,0,0,1,2.0,1,0.0,1.0,0.0
ashburi01,Richie Ashburn,1953,156,622,110,205,25,9,2,57.0,61,0.0,5.0,14.0
mantlmi01,Mickey Mantle,1953,127,461,105,136,24,3,21,92.0,79,0.0,0.0,0.0
kinerra01,Ralph Kiner,1953,41,148,27,40,6,1,7,29.0,25,0.0,2.0,0.0
dobyla01,Larry Doby,1953,149,513,92,135,18,5,29,102.0,96,0.0,6.0,2.0
willite01,Ted Williams,1953,37,91,17,37,6,0,13,34.0,19,0.0,0.0,0.0
