playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP
whitede01,Deacon White,1871,29,146,40,47,6,5,1,21.0,4,0.0,0.0
ansonca01,Cap Anson,1871,25,120,29,39,11,3,0,16.0,2,0.0,0.0
ansonca01,Cap Anson,1872,46,217,60,90,10,7,0,48.0,16,0.0,0.0
whitede01,Deacon White,1872,22,109,21,37,2,2,0,22.0,4,0.0,0.0
orourji01,Jim O'Rourke,1872,23,99,25,27,5,0,0,16.0,4,0.0,0.0
orourji01,Jim O'Rourke,1873,57,280,79,98,21,2,1,49.0,15,0.0,0.0
ansonca01,Cap Anson,1873,52,254,53,101,9,2,0,36.0,5,0.0,0.0
whitede01,Deacon White,1873,60,311,79,122,17,8,1,77.0,0,0.0,0.0
ansonca01,Cap Anson,1874,55,260,51,87,8,3,0,37.0,4,0.0,0.0
whitede01,Deacon White,1874,70,352,75,106,5,7,3,52.0,5,0.0,0.0
orourji01,Jim O'Rourke,1874,70,331,82,104,15,8,5,61.0,4,0.0,0.0
ansonca01,Cap Anson,1875,69,326,84,106,15,3,0,58.0,4,0.0,0.0
orourji01,Jim O'Rourke,1875,75,358,97,106,13,7,6,72.0,9,0.0,0.0
galvipu01,Pud Galvin,1875,13,46,8,6,2,1,0,2.0,0,0.0,0.0
whitede01,Deacon White,1875,80,371,76,136,23,3,1,60.0,3,0.0,0.0
orourji01,Jim O'Rourke,1876,70,312,61,102,17,3,2,43.0,15,0.0,0.0
whitede01,Deacon White,1876,66,303,66,104,18,1,1,60.0,7,0.0,0.0
ansonca01,Cap Anson,1876,66,309,63,110,9,7,2,59.0,12,0.0,0.0
ansonca01,Cap Anson,1877,59,255,52,86,19,1,0,32.0,9,0.0,0.0
orourji01,Jim O'Rourke,1877,61,265,68,96,14,4,0,23.0,20,0.0,0.0
whitede01,Deacon White,1877,59,266,51,103,14,11,2,49.0,8,0.0,0.0
kellyki01,King Kelly,1878,60,237,29,67,7,1,0,27.0,7,0.0,0.0
ansonca01,Cap Anson,1878,60,261,55,89,12,2,0,40.0,13,0.0,0.0
orourji01,Jim O'Rourke,1878,60,255,44,71,17,7,1,29.0,5,0.0,0.0
whitede01,Deacon White,1878,61,258,41,81,4,1,0,29.0,10,0.0,0.0
wardjo01,John Ward,1878,37,138,14,27,5,4,1,15.0,2,0.0,0.0
ansonca01,Cap Anson,1879,51,227,40,72,20,1,0,34.0,2,0.0,0.0
broutda01,Dan Brouthers,1879,39,168,17,46,12,1,4,17.0,1,0.0,0.0
wardjo01,John Ward,1879,83,364,71,104,9,4,2,41.0,7,0.0,0.0
kellyki01,King Kelly,1879,77,345,78,120,20,12,2,47.0,8,0.0,0.0
whitede01,Deacon White,1879,78,333,55,110,16,6,1,52.0,6,0.0,0.0
galvipu01,Pud Galvin,1879,67,265,34,66,11,6,0,27.0,1,0.0,0.0
orourji01,Jim O'Rourke,1879,81,362,69,126,19,9,1,46.0,13,0.0,0.0
galvipu01,Pud Galvin,1880,66,241,25,51,9,2,0,12.0,5,0.0,0.0
whitede01,Deacon White,1880,35,141,21,42,4,2,0,7.0,9,0.0,0.0
broutda01,Dan Brouthers,1880,3,12,0,2,0,0,0,1.0,1,0.0,0.0
ansonca01,Cap Anson,1880,86,356,54,120,24,1,1,74.0,14,0.0,0.0
connoro01,Roger Connor,1880,83,340,53,113,18,8,3,47.0,13,0.0,0.0
keefeti01,Tim Keefe,1880,12,43,4,10,3,0,0,3.0,1,0.0,0.0
ewingbu01,Buck Ewing,1880,13,45,1,8,1,0,0,5.0,1,0.0,0.0
wardjo01,John Ward,1880,86,356,53,81,12,2,0,27.0,6,0.0,0.0
kellyki01,King Kelly,1880,84,344,72,100,17,9,1,60.0,12,0.0,0.0
welchmi01,Mickey Welch,1880,66,251,25,72,20,3,0,27.0,5,0.0,0.0
orourji01,Jim O'Rourke,1880,86,363,71,100,20,11,6,45.0,21,0.0,0.0
radboch01,Old Hoss Radbourn,1880,6,21,1,3,0,0,0,1.0,0,0.0,0.0
keefeti01,Tim Keefe,1881,46,152,18,35,7,1,0,19.0,21,0.0,0.0
galvipu01,Pud Galvin,1881,62,236,19,50,12,4,0,21.0,3,0.0,0.0
radboch01,Old Hoss Radbourn,1881,72,270,27,59,9,0,0,28.0,10,0.0,0.0
broutda01,Dan Brouthers,1881,65,270,60,86,18,9,8,45.0,18,0.0,0.0
kellyki01,King Kelly,1881,82,353,84,114,27,3,2,55.0,16,0.0,0.0
connoro01,Roger Connor,1881,85,367,55,107,17,6,2,31.0,15,0.0,0.0
ansonca01,Cap Anson,1881,84,343,67,137,21,7,1,82.0,26,0.0,0.0
ewingbu01,Buck Ewing,1881,67,272,40,68,14,7,0,25.0,7,0.0,0.0
orourji01,Jim O'Rourke,1881,83,348,71,105,21,7,0,30.0,27,0.0,0.0
wardjo01,John Ward,1881,85,357,56,87,18,6,0,53.0,5,0.0,0.0
welchmi01,Mickey Welch,1881,40,148,12,30,10,0,0,11.0,1,0.0,0.0
whitede01,Deacon White,1881,78,319,58,99,24,4,0,53.0,9,0.0,0.0
radboch01,Old Hoss Radbourn,1882,83,326,30,78,11,0,1,32.0,12,0.0,0.0
wardjo01,John Ward,1882,83,355,58,87,10,3,1,39.0,13,0.0,0.0
kellyki01,King Kelly,1882,84,377,81,115,37,4,1,55.0,10,0.0,0.0
whitede01,Deacon White,1882,83,337,51,95,17,0,1,33.0,15,0.0,0.0
clarkjo01,John Clarkson,1882,3,11,0,4,2,0,0,2.0,0,0.0,0.0
galvipu01,Pud Galvin,1882,54,206,21,44,7,4,0,17.0,2,0.0,0.0
welchmi01,Mickey Welch,1882,38,151,26,37,6,0,1,17.0,5,0.0,0.0
mcphebi01,Bid McPhee,1882,78,311,43,71,8,7,1,31.0,11,0.0,0.0
keefeti01,Tim Keefe,1882,53,189,24,43,8,7,1,19.0,17,0.0,0.0
ansonca01,Cap Anson,1882,82,348,69,126,29,8,1,83.0,20,0.0,0.0
ewingbu01,Buck Ewing,1882,74,328,67,89,16,11,2,29.0,10,0.0,0.0
connoro01,Roger Connor,1882,81,349,65,115,22,18,4,42.0,13,0.0,0.0
broutda01,Dan Brouthers,1882,84,351,71,129,23,11,6,63.0,21,0.0,0.0
orourji01,Jim O'Rourke,1882,84,370,62,104,15,6,2,37.0,13,0.0,0.0
welchmi01,Mickey Welch,1883,84,320,42,75,13,5,2,30.0,10,0.0,0.0
